City,Temperature (°C),Humidity (%),Wind Speed (m/s),Description,Time
Hanoi,33.54,60,0.25,mây đen u ám,2025-07-18 19:06:16 UTC+07
"Hanoi","24.97","90","3.59","mưa vừa","2025-07-20 04:42:11 UTC+07"
"Hanoi","24.97","90","3.59","mưa cường độ nặng","2025-07-20 04:52:38 UTC+07"
"Hanoi","24.97","90","3.59","mưa vừa","2025-07-20 05:05:59 UTC+07"
"Hanoi","27.47","88","2.34","mưa vừa","2025-07-21 02:38:20 UTC+07"
"Hanoi","29.96","79","3.48","mây đen u ám","2025-07-23 16:45:59 UTC+07"
"Hanoi","29.96","79","3.48","overcast clouds","2025-07-23 16:46:27 UTC+07"
"Hanoi","26.88","86","2.59","light rain","2025-07-23 19:35:52 UTC+07"
"Ho Chi Minh City","27.18","85","3.58","overcast clouds","2025-07-25 05:35:15 UTC+07"
"Ho Chi Minh City","26.96","83","2.91","overcast clouds","2025-07-25 05:38:44 UTC+07"
"Ho Chi Minh City","26.96","83","2.91","overcast clouds","2025-07-25 05:39:36 UTC+07"
"Ho Chi Minh City","26.96","83","2.91","overcast clouds","2025-07-25 05:40:37 UTC+07"
"Ho Chi Minh City","26.96","83","2.91","overcast clouds","2025-07-25 05:40:51 UTC+07"
